"","INSTNM","SCH_DEG","HCM2","MAIN","NUMBRANCH","PREDDEG","HIGHDEG","CONTROL","REGION","CCBASIC","CCUGPROF","CCSIZSET","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY"
"1","Alabama A & M University",3,0,1,1,3,4,1,5,11,4,7,"1","0","0","0","0","0","0","0","0"
"2","University of Alabama at Birmingham",3,0,1,1,3,4,1,5,8,17,8,"0","0","0","0","0","0","0","0","0"
"3","Amridge University",3,0,1,1,3,4,2,5,14,13,16,"0","0","0","0","0","0","0","0","0"
"4","University of Alabama in Huntsville",3,0,1,1,3,4,1,5,9,9,5,"0","0","0","0","0","0","0","0","0"
"5","Alabama State University",3,0,1,1,3,4,1,5,12,4,7,"1","0","0","0","0","0","0","0","0"
"6","The University of Alabama",3,0,1,1,3,4,1,5,8,8,9,"0","0","0","0","0","0","0","0","0"
"7","Central Alabama Community College",2,0,1,1,2,2,1,5,13,10,12,"0","0","0","0","0","0","0","0","0"
"8","Athens State University",3,0,1,1,3,3,1,5,16,13,19,"0","0","0","0","0","0","0","0","0"
"9","Auburn University at Montgomery",3,0,1,1,3,4,1,5,11,17,6,"0","0","0","0","0","0","0","0","0"
"10","Auburn University",3,0,1,1,3,4,1,5,8,8,8,"0","0","0","0","0","0","0","0","0"
"11","Birmingham Southern College",3,0,1,1,3,3,2,5,15,8,4,"0","0","0","0","0","0","0","0","0"
"12","Chattahoochee Valley Community College",2,0,1,1,2,2,1,5,2,10,12,"0","1","0","0","0","0","0","0","0"
"13","Concordia College Alabama",2,0,1,1,2,3,2,5,17,4,18,"1","0","0","0","0","0","0","0","0"
"14","South University-Montgomery",3,0,0,15,3,4,3,5,14,15,16,"0","0","0","0","0","0","0","0","0"
"15","Enterprise State Community College",2,0,1,1,2,2,1,5,30,10,12,"0","0","0","0","0","0","0","0","0"
"16","Coastal Alabama Community College",2,0,1,3,2,2,1,5,30,10,14,"0","0","0","0","0","0","0","0","0"
"17","Faulkner University",3,0,1,1,3,4,2,5,12,15,3,"0","1","0","0","0","0","0","0","0"
"18","Gadsden State Community College",1,0,1,1,1,2,1,5,32,10,13,"1","0","0","0","0","0","0","0","0"
"19","New Beginning College of Cosmetology",1,0,1,1,1,1,3,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"20","George C Wallace Community College-Dothan",2,0,1,1,2,2,1,5,32,10,13,"0","0","0","0","0","0","0","0","0"
"21","George C Wallace State Community College-Hanceville",2,0,1,1,2,2,1,5,32,10,13,"0","0","0","0","0","0","0","0","0"
"22","George C Wallace State Community College-Selma",2,0,1,1,2,2,1,5,30,10,12,"0","1","0","0","0","0","0","0","0"
"23","Herzing University-Birmingham",2,0,0,11,1,4,2,5,17,13,16,"0","1","0","0","0","0","0","0","0"
"24","Huntingdon College",3,0,1,1,3,3,2,5,16,16,17,"0","0","0","0","0","0","0","0","0"
"25","Heritage Christian University",3,0,1,1,3,4,2,5,18,13,16,"0","0","0","0","0","0","0","0","0"
"26","J. F. Drake State Community and Technical College",1,0,1,1,1,2,1,5,32,10,2,"1","0","0","0","0","0","0","0","0"
"27","J F Ingram State Technical College",1.92616959064327,0,1,1,1,1,1,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"28","Jacksonville State University",3,0,1,1,3,4,1,5,11,7,6,"0","0","0","0","0","0","0","0","0"
"29","Jefferson Davis Community College",1.92616959064327,0,0,3,2,2,1,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"30","Jefferson State Community College",2,0,1,1,2,2,1,5,33,3,13,"0","0","0","0","0","0","0","0","0"
"31","John C Calhoun State Community College",2,0,1,1,2,2,1,5,13,3,14,"0","0","0","0","0","0","0","0","0"
"32","Judson College",3,0,1,1,3,3,2,5,15,17,17,"0","0","0","0","0","0","0","0","1"
"33","Lawson State Community College",1,0,1,1,1,2,1,5,29,10,13,"1","0","0","0","0","0","0","0","0"
"34","University of West Alabama",3,0,1,1,3,4,1,5,11,5,6,"0","1","0","0","0","0","0","0","0"
"35","Lurleen B Wallace Community College",2,0,1,1,2,2,1,5,30,10,12,"0","0","0","0","0","0","0","0","0"
"36","Marion Military Institute",2,0,1,1,2,2,1,5,2,12,2,"0","0","0","0","0","0","0","0","0"
"37","Miles College",3,0,1,1,3,3,2,5,16,5,4,"1","0","0","0","0","0","0","0","0"
"38","University of Mobile",3,0,1,1,3,4,2,5,16,7,4,"0","0","0","0","0","0","0","0","0"
"39","University of Montevallo",3,0,1,1,3,4,1,5,12,7,4,"0","0","0","0","0","0","0","0","0"
"40","Northwest-Shoals Community College",2,0,1,1,2,2,1,5,30,10,13,"0","0","0","0","0","0","0","0","0"
"41","University of North Alabama",3,0,1,1,3,4,1,5,11,7,6,"0","0","0","0","0","0","0","0","0"
"42","Northeast Alabama Community College",1,0,1,1,1,2,1,5,30,10,12,"0","0","0","0","0","0","0","0","0"
"43","Oakwood University",3,0,1,1,3,4,2,5,16,4,4,"1","0","0","0","0","0","0","0","0"
"44","Alabama Southern Community College",1.92616959064327,0,0,3,2,2,1,5,1,1,1,"0","0","0","0","0","0","0","0","0"
"45","Reid State Technical College",1,0,1,1,1,2,1,5,33,10,2,"0","0","0","0","0","0","0","0","0"
"46","Bishop State Community College",1,0,1,1,1,2,1,5,33,10,13,"1","0","0","0","0","0","0","0","0"
"47","Samford University",3,0,1,1,3,4,2,5,10,8,7,"0","0","0","0","0","0","0","0","0"
"48","Selma University",3,1,1,1,3,4,2,5,18,15,16,"1","1","0","0","0","0","0","0","0"
"49","Shelton State Community College",2,0,1,1,2,2,1,5,32,10,13,"1","0","0","0","0","0","0","0","0"
"50","Snead State Community College",2,0,1,1,2,2,1,5,13,10,12,"0","0","0","0","0","0","0","0","0"
"51","University of South Alabama",3,0,1,1,3,4,1,5,9,7,9,"0","0","0","0","0","0","0","0","0"
"52","Spring Hill College",3,0,1,1,3,4,2,5,15,6,4,"0","0","0","0","0","0","0","0","0"
"53","Stillman College",3,0,1,1,3,3,2,5,15,9,18,"1","0","0","0","0","0","0","0","0"
"54","Talladega College",3,0,1,1,3,3,2,5,15,5,18,"1","0","0","0","0","0","0","0","0"
"55","H Councill Trenholm State Community College",1,0,1,1,1,2,1,5,32,10,12,"1","0","0","0","0","0","0","0","0"
"56","Troy University",3,0,1,4,3,4,1,5,11,15,8,"0","0","0","0","0","0","0","0","0"
"57","Tuskegee University",3,0,1,1,3,4,2,5,12,4,7,"1","0","0","0","0","0","0","0","0"
"58","United States Sports Academy",3,0,1,1,3,4,2,5,27,13,16,"0","0","0","0","0","0","0","0","0"
"59","Bevill State Community College",2,0,1,1,2,2,1,5,33,10,13,"0","0","0","0","0","0","0","0","0"
"60","University of Alaska Anchorage",3,0,1,1,3,4,1,8,11,13,8,"0","0","0","0","0","0","0","0","0"
"61","Alaska Bible College",3,0,1,1,3,3,2,8,18,4,18,"0","0","0","0","0","0","0","0","0"
"62","University of Alaska Fairbanks",3,0,1,1,3,4,1,8,9,13,6,"0","0","1","0","0","0","0","0","0"
"63","University of Alaska Southeast",3,0,1,1,3,4,1,8,12,13,19,"0","0","1","0","0","0","0","0","0"
"64","Alaska Pacific University",3,0,1,1,3,4,2,8,14,15,17,"0","0","0","0","0","0","1","0","0"
"65","AVTEC-Alaska's Institute of Technology",1,0,1,1,1,1,1,8,1,1,1,"0","0","0","0","0","0","0","0","0"
"66","Charter College",1,0,1,1,1,4,3,8,17,4,19,"0","0","0","0","0","0","0","0","0"
"67","Alaska Career College",1,0,1,1,1,2,3,8,6,12,2,"0","0","0","0","0","0","0","0","0"
"68","Empire Beauty School-Tucson",1,0,0,11,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"69","Thunderbird School of Global Management",3,0,0,10,4,4,1,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"70","American Institute of Trucking",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"71","Carrington College-Phoenix North",1,0,1,6,1,2,3,6,3,12,12,"0","0","0","0","0","0","0","0","0"
"72","Carrington College-Mesa",1,0,0,6,1,2,3,6,3,12,2,"0","0","0","0","0","0","0","0","0"
"73","Carrington College-Tucson",1,0,0,6,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"74","CollegeAmerica-Flagstaff",2,0,1,3,2,3,2,6,20,4,16,"0","0","1","0","0","0","1","0","0"
"75","Arizona Academy of Beauty-East",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"76","Platt College-Arizona Automotive Institute Arizona",1,0,0,10,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"77","Brookline College-Phoenix",1,0,1,4,1,4,3,6,20,13,16,"0","0","0","0","0","0","0","0","0"
"78","Arizona State University-Tempe",3,0,1,10,3,4,1,6,8,9,9,"0","0","0","0","0","0","0","0","0"
"79","Arizona Western College",1,0,1,1,1,2,1,6,2,3,13,"0","0","0","0","0","1","0","0","0"
"80","University of Arizona",3,0,1,2,3,4,1,6,8,5,8,"0","0","0","0","0","1","0","0","0"
"81","Southwest University of Visual Arts-Tucson",3,0,1,2,3,4,3,6,25,5,16,"0","0","0","0","0","0","0","0","0"
"82","Central Arizona College",1,0,1,1,1,2,1,6,13,3,13,"0","0","0","0","0","1","0","0","0"
"83","Brown Mackie College-Tucson",3,1,0,21,2,3,3,6,17,5,16,"0","0","0","0","0","0","0","0","0"
"84","Charles of Italy Beauty College",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"85","Cochise County Community College District",2,0,1,1,2,2,1,6,34,3,13,"0","0","0","0","0","0","0","0","0"
"86","Empire Beauty School-Flagstaff",1,0,0,14,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"87","Empire Beauty School-Chandler",1,0,0,14,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"88","Cortiva Institute-Tucson",1,0,1,1,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"89","Avalon School of Cosmetology-Mesa",1,0,1,3,1,1,3,6,1,1,1,"0","0","0","0","0","0","0","0","0"
"90","Eastern Arizona College",1,0,1,1,1,2,1,6,31,3,13,"0","0","0","0","0","0","0","0","0"
"91","Embry-Riddle Aeronautical University-Prescott",3,0,0,2,3,4,2,6,16,8,3,"0","0","0","0","0","0","0","0","0"
"92","School of Architecture at Taliesin",3,0,1,1,4,4,2,6,25,2,11,"0","0","0","0","0","0","0","0","0"
"93","Glendale Community College",1,0,1,1,1,2,1,6,13,3,15,"0","0","0","0","0","1","0","0","0"
"94","Grand Canyon University",3,0,1,1,3,4,3,6,10,13,8,"0","0","0","0","0","0","0","0","0"
"95","GateWay Community College",1,0,1,2,1,2,1,6,33,3,13,"0","0","0","0","0","1","0","0","0"
"96","Mesa Community College",2,0,1,1,2,2,1,6,13,3,15,"0","0","0","0","0","1","0","0","0"
"97","Mohave Community College",2,0,1,1,2,2,1,6,30,3,12,"0","0","0","0","0","0","0","0","0"
